"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8236035279294","21.0659898477157","26.1943319838057","23.8876732312181","22.6085206306609","23.2926153037963","21.4195402984363","24.5340051843469","25.1562787806226","24.720504791149","23.1593884601692","23.1201917315758","22.7683391626139","21.854499230273","21.6369424584952","25.3782061170242","26.3137877247752","25.6271359369157","","","","","","",
"Afghanistan","AFG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.36466101701445","9.77853654371352","10.5706119792764","10.5582479939106","11.4519260524128","10.9297752507093","13.3092932083586","11.6732159623451","14.3360599196564","12.8320719096249","12.3597950192181","12.008080045784","12.636776599429","12.2968298457315","12.3341975903917","",
"Angola","AGO","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","50","42.3076923076923","41.635687732342","40.099967752338","51.2370077587469","18.9109902775966","53.7737222318949","28.5176659435872","59.72278842234","42.505353669459","25.1543801760228","26.8525326647206","27.6595644185398","19.9052427317007","19.9844361139049","18.4515240397542","15.2777744828816","17.1322340585203","17.5047068007531","17.6585355298938","19.5733212489282","21.21821075341","19.7904498063253","20.5952254572949","17.669885089114","12.8881629340794","",
"Albania","ALB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","8.98442533778109","8.53605430558112","8.58921602998066","8.77780451048442","9.41247722948227","9.30439386359233","9.27544503004344","9.64469991976815","9.46025341015993","8.81109153049136","18.5213819994299","22.0799815059738","19.6798919882798","14.128770270954","13.852179594066","13.6461327829452","9.1950240910156","10.1580834199789","10.2605170718245","9.97132434047631","9.45498250739639","10.3995053866198","11.1724100245747","10.8897477319524","10.9828825674789","10.8625868442834","10.1349294264921","10.1637635738229","10.3789568141351","11.1094297638373","11.1573644177595","10.974164807642","10.8448158711472","11.0254960467353","11.4518361304413","11.1613045783051","11.1340984566038","",
"Andorra","AND","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","17.6128988029334","17.2140342304437","17.5250405172611","18.5396606962083","13.7081286476175","17.2067647872834","18.5366745428292","18.2669282825189","20.7901571259417","18.8120037160551","16.2880373853575","19.4601298804978","22.5746610926849","24.5571826254959","24.0397842315744","24.5137779793849","26.8440546661894","25.7565266307004","24.1629320208037","24.2322702200551","21.5404368834403","26.5703280871061","22.7840383175769","19.7765978341578","19.7407591909524","19.1413647966475","18.9235005356505","19.899129644086","21.9359004723763","19.5660363727434","18.6573817229476","18.3869398108111","18.3806661373128","17.1011446520276","17.1433935111494","15.6778454658742","15.1249960602251","14.8536490033981","13.6349443835281","17.0178586923961","15.9090616339533","15.6120875367351","15.8524069956991","17.2562735089912","18.3894783778442","20.9854266189637","19.9622166494419","",
"United Arab Emirates","ARE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91402485951947","10.1465410364493","9.75031861639462","8.746787993774","7.87256752437752","6.91778949471818","6.73302385881712","7.29686008705703","10.2340896996295","10.0278504079002","9.94644043493236","9.72453696877928","11.4268023513536","11.644284463707","13.6167882237501","14.0307356606729","",
"Argentina","ARG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","9.88044509523395","7.78963204832989","12.1923745358372","10.2521949603684","7.22902581011462","8.08948631250583","10.8043385563998","9.73927816603499","9.82935062849218","9.50117537009171","9.74254326207249","10.1462160701663","9.3516969606052","11.5393235681285","13.1532327349931","12.5891776401825","9.42009472794214","9.01540997694691","11.1661116653801","11.0078459556516","","","","","","","","4.7144944990421","4.32191028434568","4.49439596541391","3.13542839161188","3.32176128752774","2.97553802761558","13.5103788111334","13.186859073959","13.3495199718639","12.5016649840759","12.0620332651549","12.4948047028206","13.7232252762562","13.7842129106319","14.1562932934619","12.2352677714505","11.4381253998635","11.114636067696","12.1418612359575","12.4294153726307","12.9893238963619","13.6335132595631","15.903896746884","15.1637178886417","15.6889565165983","16.6454378106252","16.8062377968797","16.9498757371062","18.4969210547127","18.4322209089932","",
"Armenia","ARM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3064997018485","18.5092232400552","18.5466971855959","17.1936819797033","11.272016778642","11.1700014988129","11.2316982183951","11.2167199040578","11.0520888406725","11.9086283108833","11.8090155286582","11.2859017203163","9.98704046476709","10.2072474150778","10.1729640690976","10.5509837816177","10.0902691516999","10.1731841599267","10.2292045496201","13.3366214133906","13.0709481268251","12.9276636487301","10.9099638916146","11.9350654316666","12.0858534859076","13.1115978061212","13.8924411489235","",
"American Samoa","ASM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
